split,Conversation_no,turn_count,unique_topics,q_avg,q_min,q_max,a_avg,a_min,a_max,passage_avg,passage_min,passage_max,total_session_tokens
train,73,11,3,8.1,4,13,7.6,3,23,122.5,58,153,1521
train,74,18,4,7.1,4,10,22.6,3,81,157.1,80,305,3361
train,75,18,4,7.5,4,11,11.2,2,29,145.5,58,203,2956
train,76,14,8,9.2,5,13,20.1,4,70,153.9,90,306,2565
train,77,19,6,6.8,2,10,10.8,2,30,149,79,178,3166
train,78,10,5,8.3,5,14,13.7,3,47,134.6,9,193,1566
train,79,13,6,7.5,3,13,8.6,2,26,164.8,126,230,2352
train,80,10,5,7.1,4,17,11.3,1,23,135,77,154,1534
train,81,13,4,7.8,5,10,30.6,4,94,139.1,53,178,2308
train,82,8,4,8.4,4,18,11.1,3,25,176.1,159,213,1565
train,83,18,4,8.2,5,14,16.2,2,41,158.3,97,240,3290
train,84,16,4,6.9,2,12,5.9,1,19,112.5,73,169,2005
train,85,15,5,7.7,5,12,17.8,3,58,114.3,19,219,2098
train,86,7,3,7.4,4,13,8,6,12,133.6,44,162,1043
train,87,18,7,8.2,4,15,15.2,2,105,137.7,20,238,2898
train,88,16,6,8.6,5,16,12.5,3,60,129.9,16,162,2417
train,89,10,3,7.3,5,10,30.1,7,61,126.4,37,194,1638
train,90,18,1,6.5,2,11,24.9,6,73,144.1,45,166,3158
train,91,18,4,7.9,5,14,19.9,2,53,146.3,117,184,3134
train,92,17,6,8.4,4,17,11,2,43,143.2,83,175,2764
train,93,10,3,8.6,4,15,21.4,1,59,110.7,31,157,1407
train,94,12,5,8.6,5,16,18.6,4,61,147.4,19,205,2095
train,95,5,3,9.6,8,12,12,2,35,175.6,170,184,986
train,96,11,4,7.2,4,12,16.8,2,34,134.5,74,163,1743
train,97,17,6,7.2,5,14,11.4,1,38,136.3,35,204,2633
train,98,10,7,9.7,7,12,30.8,4,79,147.5,56,251,1880
train,99,17,4,7.1,4,14,23.9,4,60,151,108,228,3094
train,100,18,5,6.3,2,10,26.2,4,72,123.2,52,175,2801
train,101,10,6,7.5,5,10,19.1,4,30,147.2,70,203,1738
train,102,16,4,7.1,4,11,16.8,2,83,159.4,131,178,2934
train,103,11,5,7.7,3,12,16.5,4,83,136.4,94,163,1767
train,104,14,5,8.2,5,14,14.9,1,59,142,43,181,2312
train,105,18,6,11.6,5,28,14.1,2,60,147.1,75,210,3110
train,106,18,5,7.2,4,14,7.8,1,30,145.8,37,286,2896
train,107,10,4,7.7,6,10,9.1,2,18,116.4,24,153,1332
train,108,10,4,8.1,5,10,11.3,4,31,128.5,33,174,1479
train,109,11,5,8.9,5,15,11.5,4,43,161.2,146,190,1998
train,110,10,3,7.4,5,11,7.7,1,15,126.6,28,173,1417
train,111,11,4,9.4,5,18,10.7,2,34,141.8,125,167,1781
train,112,5,3,7.8,6,11,38.2,13,68,147,134,170,965
train,113,10,3,7.9,6,12,35.1,16,76,116.4,52,156,1594
train,114,15,5,7.6,4,14,21.5,4,56,145.3,77,213,2616
train,115,15,4,6.3,4,11,8.5,2,24,128.9,39,166,2157
train,116,19,8,8.8,5,14,15.1,1,49,135.6,37,187,3030
train,117,18,5,8.5,4,11,6.3,1,27,142.2,30,172,2827
train,118,10,4,7.6,5,12,12.2,2,30,136.5,74,175,1563
train,119,12,3,7.5,5,14,15.2,1,35,143.9,78,187,1999
train,120,13,5,9.8,5,14,16,3,34,133,108,158,2065
train,121,14,2,6.9,4,14,19.2,3,52,147.1,25,188,2425
train,122,10,4,9.6,5,16,15,2,55,143,125,157,1676
train,123,10,4,8.8,5,14,16.1,4,44,121.5,37,171,1464
train,124,12,3,8.5,5,13,16.6,1,45,109.7,56,177,1617
train,125,9,3,6.2,3,11,7.8,1,18,161,124,189,1575
train,126,10,2,6.7,5,10,26.5,3,70,131.1,47,162,1643
train,127,10,3,5.8,4,9,10,2,36,149.5,133,171,1653
train,128,16,4,6,3,8,17.2,4,38,148.1,88,189,2740
train,129,15,3,7.3,4,10,14,2,38,130.5,29,166,2276
train,130,14,5,8.1,5,12,12.7,2,38,134.1,49,179,2168
train,131,15,5,7.3,3,12,11,3,47,153.7,105,191,2580
train,132,14,3,7.2,5,11,18.8,3,57,157.3,134,180,2566
train,133,19,7,7.5,4,13,17.5,2,55,142.1,67,180,3175
train,134,7,3,8.6,5,15,30.4,4,89,146.3,123,176,1297
train,135,15,6,8.4,3,17,12.9,1,31,152.5,125,182,2607
train,136,15,5,7.3,4,12,30.3,4,63,106.2,34,162,2157
train,137,10,3,9.1,5,17,6.3,2,18,141.6,32,183,1570
train,138,10,3,6.8,4,11,9.5,2,42,150.4,141,191,1667
train,139,5,2,7.4,6,10,16.8,8,32,156,134,173,901
train,140,15,6,8.2,5,15,17.1,4,50,163.8,98,194,2836
train,141,18,4,7.2,4,12,13.1,2,53,153.1,46,184,3119
train,142,10,4,11.1,7,17,12,3,35,151.9,79,190,1750
train,143,20,15,8.9,6,14,16.1,1,44,128.9,32,238,3079
train,144,18,7,11.1,5,19,12.6,1,31,161.4,24,220,3331
train,145,12,7,7.8,5,14,11.3,1,28,138.9,68,180,1897
train,146,17,3,8.9,5,14,11.6,4,34,135.8,106,157,2658
train,147,10,4,7.6,5,12,38.8,9,94,130.4,42,196,1768
train,148,10,1,6.8,5,13,15.1,1,30,128.2,73,145,1501
train,149,20,7,7.5,5,11,10.1,2,41,133.6,32,256,3025
train,150,11,3,7,4,10,15.3,2,37,155.5,94,190,1955
train,151,12,5,9.6,7,12,9.8,3,16,133.8,40,188,1839
train,152,11,4,10.7,6,17,15.6,4,52,141.6,54,188,1848
train,153,18,8,10.5,6,23,10.7,4,25,134.2,13,182,2797
train,154,14,5,8,5,12,18.3,1,56,138.1,59,185,2301
train,155,18,4,6.8,4,11,10.7,1,45,157,128,178,3141
train,156,15,6,8.5,5,13,16.6,2,43,143.3,60,219,2525
train,157,18,6,7.1,2,14,17.6,2,41,108.3,34,184,2393
train,158,17,3,7.2,5,12,9.6,1,40,140.2,30,192,2669
train,159,18,6,8.5,4,13,30.4,1,71,144.5,59,208,3302
train,160,15,6,7.3,3,14,5.4,2,13,142.1,76,195,2321
train,161,11,2,7.6,5,11,26.5,3,74,154.9,92,202,2080
train,162,10,5,8.4,5,16,16.6,4,33,142,67,164,1670
train,163,18,6,7.1,4,12,13.8,2,28,164.4,80,363,3335
train,164,17,10,7.6,2,13,12.6,1,26,143.6,71,186,2784
train,165,10,6,8.9,6,11,14.3,2,28,131.7,40,196,1549
train,166,10,4,7.2,4,12,18.2,3,71,147.3,106,203,1727
train,167,10,3,8.8,5,12,10.1,2,26,106.2,31,161,1251
train,168,13,3,10.2,6,19,15.1,2,55,129.3,68,165,2009
train,169,10,4,7.1,5,10,22.9,4,43,141.9,73,180,1719
train,170,15,7,8.2,5,12,13.9,3,33,134.1,19,170,2343
train,171,8,3,7.8,5,11,8.1,2,29,131.5,89,160,1179
train,172,11,6,8.3,6,11,22.6,2,50,108.5,34,191,1533
train,173,14,8,9.7,5,14,9.5,1,24,147.9,92,203,2339
train,174,10,4,8.8,5,16,17.7,3,72,132.5,85,155,1590
train,175,10,3,9.7,4,15,25.6,4,59,160.4,114,183,1957
train,176,14,5,8.3,4,14,12.8,2,49,136.2,41,207,2202
train,177,13,4,7.5,4,9,14,2,35,166.4,140,195,2443
train,178,13,6,9.1,5,12,13.5,4,29,155.6,133,186,2317
train,179,10,3,6.2,4,11,12.5,2,25,163,128,195,1817
train,180,11,3,11,5,18,19.5,2,42,134.5,34,172,1815
train,181,14,4,6.9,2,10,18.2,2,45,135.1,80,180,2242
train,182,10,5,8.8,6,13,12.6,4,35,140.6,58,167,1620
train,183,15,3,9.1,5,12,13,1,29,127.8,83,161,2248
train,184,13,6,7.7,5,13,9.3,2,18,147.7,50,235,2141
train,185,13,5,8.2,5,13,11.5,2,43,130.8,78,148,1956
train,186,10,3,8.7,5,16,12.7,2,28,129.8,59,183,1512
train,187,10,3,7.6,4,12,7.6,3,16,134.2,50,177,1494
train,188,13,6,8,5,14,12.3,3,25,128.9,12,205,1940
train,189,15,5,8.5,5,16,15.9,1,39,152.2,87,188,2649
train,190,13,3,9.5,4,19,17.2,2,55,136.1,62,186,2116
train,191,15,7,7.4,5,11,14.4,1,33,150.7,121,184,2587
train,192,10,5,8,5,10,17.8,4,47,122.8,38,162,1486
train,193,11,3,10.5,7,14,17.5,4,44,132.9,42,172,1770
train,194,10,6,8.2,6,11,30.1,6,63,149.9,118,204,1882
train,195,15,4,8.5,6,11,17.4,1,49,149.8,106,177,2635
train,196,18,3,6.6,4,13,17.7,2,70,131.2,32,188,2800
train,197,11,5,6.6,5,9,11,3,31,173.4,127,310,2101
train,198,12,4,6,2,8,18.5,3,62,152.4,133,184,2123
train,199,11,2,8.7,5,16,21.1,5,44,112.6,28,164,1567
train,200,11,4,8.5,6,15,19.3,2,45,125.8,41,186,1690
train,201,17,6,9.4,4,23,7.8,2,19,124.1,22,174,2402
train,202,18,6,7.1,4,12,8.4,1,19,137.2,56,172,2748
train,203,10,5,7.5,5,12,20.3,8,44,141.9,46,181,1697
train,204,15,7,8.2,5,13,8.4,1,20,143.3,93,181,2398
train,205,10,3,6.8,4,14,15.5,3,51,152.6,101,192,1749
train,206,14,4,7.6,3,11,10.3,3,25,140.4,25,171,2217
train,207,14,6,7.4,4,12,20,1,45,127.5,47,175,2169
train,208,13,4,8.6,4,14,13.9,2,43,139,55,169,2100
train,209,17,6,8.1,5,17,13.2,1,44,145.5,45,289,2837
train,210,6,1,7.5,5,11,22.8,4,44,167.8,154,194,1189
train,211,12,5,9.1,4,22,26.6,1,150,119.5,45,219,1862
train,212,10,6,8.5,5,11,10.7,2,26,126.4,73,162,1456
train,213,11,5,7.5,5,11,25.9,4,80,145.2,87,183,1965
train,214,10,3,7.5,2,10,10.4,1,27,134,86,164,1519
train,215,18,3,6.5,4,11,14.8,1,49,147.5,83,178,3038
train,216,10,5,8.1,5,13,12.7,1,39,141.7,128,160,1625
train,217,11,4,7.2,5,10,29.2,4,54,126.1,67,154,1787
train,218,10,3,8.9,6,13,20.4,1,51,161.4,133,208,1907
train,219,10,3,10.4,6,17,21.2,4,75,158.9,124,182,1905
train,220,14,4,8.1,4,16,11.4,1,51,141.9,126,170,2260
train,221,17,6,8.4,4,13,10.7,2,60,141.8,88,161,2735
train,222,16,6,8.4,3,17,13.5,3,42,150.4,77,211,2757
train,223,15,2,7.4,4,13,26.6,6,87,138.7,98,184,2591
train,224,10,3,8.7,6,12,29.6,4,67,137,68,180,1753
train,225,15,7,8.7,5,14,15.4,4,37,125.1,49,151,2239
train,226,12,7,7.7,5,9,20.9,4,38,129,68,151,1891
train,227,15,6,7.8,4,14,7.9,3,20,149.8,43,220,2482
train,228,10,4,7.5,3,10,8.6,3,21,146.1,64,209,1622
train,229,13,4,8.4,5,13,7.8,2,20,154.5,122,172,2219
train,230,12,8,8.2,5,11,10.2,2,34,129.1,49,167,1770
train,231,11,5,7.5,4,10,22.6,2,59,121.5,33,176,1667
train,232,11,5,9.8,6,14,13.5,4,31,126,67,262,1643
train,233,14,4,8.1,5,19,14.5,4,44,127.5,38,169,2101
train,234,11,4,7.7,5,11,24.3,7,37,123.1,51,174,1706
train,235,10,3,7.7,5,13,12.8,2,38,152.4,106,171,1729
train,236,10,5,6.8,5,10,12.9,3,26,152.8,101,179,1725
train,237,12,5,7.8,5,13,6.8,1,30,141.5,70,187,1873
train,238,10,3,7.2,5,12,18.7,4,49,122.2,49,151,1481
train,239,14,8,8,4,17,9.6,2,19,137,33,166,2165
train,240,18,2,7.1,3,12,16.4,3,52,139.8,50,189,2941
train,241,11,4,10.1,4,19,12.8,4,42,139.2,47,196,1783
train,242,10,3,9.5,7,13,13.1,3,28,131.9,22,189,1545
train,243,10,5,6.7,4,10,7.9,1,30,125.2,71,187,1398
train,244,12,5,9.7,7,15,13.9,4,22,133.9,19,183,1890
train,245,7,2,8.3,5,13,14,3,29,120.4,75,136,999
train,246,10,3,7.1,5,12,25.1,4,62,129.7,25,171,1619
train,247,15,5,7.9,5,12,18.9,3,66,154.4,135,181,2718
train,248,11,6,7.4,5,11,11.8,4,23,124.2,26,170,1577
train,249,18,2,7.4,5,16,11.8,2,34,137.8,10,170,2826
train,250,13,4,8,5,10,8.6,2,33,141.5,88,178,2055
train,251,16,5,8.4,6,12,20.3,3,46,130.4,44,199,2546
train,252,16,5,6.9,2,13,10.6,1,30,90.9,47,163,1734
train,253,16,6,7.1,3,11,20,4,61,142.7,32,215,2717
train,254,18,9,7.3,5,14,16,1,53,136.8,32,185,2882
train,255,18,5,7.9,6,13,9.1,3,38,133.3,49,167,2706
train,256,6,1,6.5,5,9,12.5,5,18,129,18,182,888
train,257,12,5,9,4,17,20.2,3,55,149.1,63,196,2139
train,258,18,3,7.1,2,11,12.6,2,37,132,94,161,2731
train,259,11,5,8.6,5,13,9.5,2,28,147.2,117,187,1818
train,260,9,4,10,6,14,14.2,2,40,151,119,167,1577
train,261,9,2,6.8,5,9,15.8,4,39,130.3,94,157,1376
train,262,18,5,6.7,5,11,11.2,2,28,151.4,65,213,3049
train,263,15,4,7.3,3,13,9.9,1,38,134,85,154,2268
train,264,10,4,7.4,5,11,6.8,2,13,146.7,102,169,1609
train,265,11,5,7.1,4,13,9.1,2,34,156.7,72,176,1902
train,266,16,10,7.1,4,12,8.8,1,31,106.6,30,165,1960
train,267,10,3,7.7,5,12,19.4,7,40,132,66,173,1591
train,268,12,2,10.8,7,26,17.6,3,62,149.3,26,173,2132
train,269,19,5,7.7,4,14,9.9,1,34,140.4,101,203,3004
train,270,17,5,8.9,5,16,24.1,2,59,151.6,122,184,3140
train,271,10,5,7.8,5,11,9.9,2,32,140,17,170,1577
train,272,18,6,7.3,4,12,11.8,2,47,138,59,184,2827
train,273,11,5,9.6,6,12,4.8,2,12,127.7,53,203,1564
train,274,12,4,8.2,4,14,14.5,3,31,125.5,49,210,1778
train,275,10,3,7.4,5,12,18.6,4,36,127.3,36,213,1533
train,276,15,6,7.8,5,14,8.9,2,35,132.1,80,208,2232
train,277,14,5,7.7,5,13,10.3,2,23,137.6,73,242,2179
train,278,14,5,8.4,4,14,6.5,1,36,143.9,29,174,2224
train,279,13,7,8,4,13,18.5,2,58,119.9,24,177,1904
train,280,15,5,6.9,4,14,11.3,1,35,140,20,167,2372
train,281,13,4,9.2,6,14,9.9,1,33,146.7,45,179,2156
train,282,8,2,6.6,4,10,13.2,2,26,157.2,94,216,1417
train,283,10,5,10.7,6,16,15.6,6,34,122.3,60,187,1486
train,284,10,5,7.6,5,11,23.5,4,50,169,119,231,2001
train,285,10,3,9.3,4,14,8,2,30,154.4,131,188,1717
train,286,10,4,8.1,4,13,14.2,3,43,141.3,81,185,1636
train,287,15,4,8.1,5,11,11.8,2,33,138.1,94,217,2370
train,288,12,6,9.4,5,13,14.2,4,29,134.9,69,174,1902
train,289,10,3,7.6,4,13,17.8,2,47,144.2,112,185,1696
train,290,11,4,10.9,5,17,9.1,1,23,140,76,176,1760
train,291,10,5,7.2,4,9,20.7,1,80,125.8,39,171,1537
train,292,16,2,7.4,5,11,16.4,2,33,126.9,29,184,2412
train,293,11,5,9.5,5,13,8.8,1,23,153.1,116,172,1885
train,294,11,6,7.7,5,11,14.8,2,35,124.9,50,176,1622
train,295,16,4,6.7,4,10,10.6,2,38,146.9,99,201,2627
train,296,13,5,9.1,6,13,19.5,5,43,128,92,159,2035
train,297,16,6,7.1,5,14,9.1,2,25,160.4,137,182,2824
train,298,15,5,8.4,5,13,18.4,1,86,114.2,16,169,2115
train,299,11,2,9.4,6,13,7.7,2,18,155.9,51,189,1903
train,300,18,5,7.2,4,15,12.5,2,56,160.4,88,224,3242
train,301,10,3,8.2,5,13,12,1,27,159.7,110,189,1799
train,302,10,5,8.2,5,11,9.6,3,16,131.5,67,193,1493
train,303,16,6,8.1,4,13,13.3,3,29,128.9,18,179,2406
train,304,10,3,7.1,4,11,9.8,1,22,145.2,42,207,1621
train,305,10,2,9.6,5,21,29.9,3,102,141.9,112,167,1814
train,306,10,4,9.7,7,14,10.1,3,20,145.4,133,162,1652
train,307,7,3,6.4,5,9,10.7,2,25,147.7,121,175,1154
train,308,10,3,8,4,15,7.4,2,27,131.9,104,148,1473
train,309,13,7,7.8,5,12,19.7,2,63,122.8,39,171,1954
train,310,18,3,7.3,5,11,11.2,1,29,158.2,120,175,3179
train,311,18,2,6.6,2,19,16.8,3,41,151.1,128,165,3142
train,312,11,4,5.5,2,7,10.5,2,22,125.1,55,143,1553
train,313,13,4,7.8,4,18,18.5,4,44,117,28,165,1863
train,314,18,6,7.7,4,12,15.7,2,58,166.7,93,215,3421
train,315,15,4,9.1,5,16,13.8,2,65,144.5,90,185,2510
train,316,18,8,7.1,4,10,17.3,3,41,134.6,95,163,2860
train,317,15,4,7.9,5,13,24.9,1,118,116.9,29,168,2246
train,318,5,2,10.6,7,13,32.2,3,56,135.6,123,147,892
train,319,11,6,11.2,8,17,22.1,3,61,154.2,102,220,2062
train,320,14,2,7.4,4,11,11.1,2,29,157.1,106,188,2458
train,321,11,5,6.9,5,10,15.7,2,42,134.7,80,197,1731
train,322,12,5,5.9,4,9,6.7,4,16,141.7,92,198,1851
train,323,16,5,7.8,4,12,16.9,2,55,146,121,174,2732
train,324,10,3,7.6,4,11,20.5,4,74,152.4,132,187,1805
train,325,10,4,8.5,4,14,19.6,2,57,150.3,102,198,1784
train,326,11,2,8.7,6,12,20.5,2,47,139.8,86,183,1860
train,327,11,4,9.8,7,15,11.8,4,26,176.6,143,212,2181
train,328,10,3,7.6,5,11,12,6,24,128.1,26,206,1477
train,329,12,4,8.7,7,13,8.1,2,32,128.9,42,165,1748
train,330,8,3,7.8,6,10,17.9,3,48,141.6,27,181,1338
train,331,16,7,7.3,4,12,16.7,4,28,138.9,39,426,2606
train,332,11,3,5.6,4,10,15.7,2,65,141.5,65,166,1791
train,333,10,4,5.9,5,11,8.2,4,26,151.7,132,162,1658
train,334,7,4,7.1,4,10,16.6,2,81,137.1,75,162,1126
train,335,16,7,6.9,4,14,13,1,33,147.2,90,184,2673
train,336,9,3,7.8,5,11,16.1,2,40,127.6,104,153,1363
train,337,16,4,8.6,4,16,13.9,2,41,139.6,87,163,2594
train,338,9,2,9.2,5,20,14.8,2,50,140.1,105,161,1477
train,339,13,3,7.8,4,15,9.2,1,34,127.5,70,161,1879
train,340,13,5,8.5,5,14,26.2,4,81,168.9,142,209,2648
train,341,5,2,8.2,4,12,24.8,4,74,149.4,130,171,912
train,342,15,5,7.7,5,11,16.7,2,47,134.1,40,154,2378
train,343,12,5,9.7,7,12,27.6,2,63,103,59,144,1683
train,344,14,6,7,4,10,13,2,33,136.1,42,179,2185
train,345,15,4,6.5,5,9,8.7,3,26,171.9,95,286,2807
train,346,18,6,8.4,5,15,19.8,2,127,142.4,56,176,3070
train,347,18,7,7.7,4,11,14.1,2,53,154.3,130,187,3169
train,348,18,4,6.4,4,10,15.2,3,76,160.7,83,241,3283
train,349,10,2,9.4,5,13,10.7,1,37,138.7,130,143,1588
train,350,11,4,7,2,15,11.1,2,27,122.3,21,160,1544
train,351,13,6,7.5,5,11,10.2,1,30,154.4,142,170,2237
train,352,20,6,8.2,5,13,13.3,4,44,130.4,24,190,3039
train,353,17,3,7.5,4,14,16.2,4,32,123.6,59,183,2503
train,354,17,5,8.1,5,13,13.5,1,38,174.9,108,249,3340
train,355,12,5,7.8,6,11,16.1,4,62,132.5,24,173,1877
train,356,18,6,8.7,5,14,16.2,4,35,139.4,57,175,2957
train,357,18,6,8,4,17,17.7,2,49,133.9,45,172,2874
train,358,12,4,6.7,4,10,12.8,2,59,131.6,27,177,1812
train,359,16,8,9.2,6,18,20.7,1,53,136,35,223,2655
train,360,10,4,7.3,4,12,16.8,4,42,98.5,33,168,1226
train,361,10,3,8,5,9,24.9,2,66,137.1,17,184,1700
train,362,18,9,7.9,5,12,22.2,1,68,118.5,15,175,2675
train,363,18,5,9,5,16,9.8,2,30,153.6,110,268,3104
train,364,12,3,9.8,6,19,14.5,4,30,144.8,108,174,2029
train,365,10,3,6.9,5,9,16.7,3,61,147.7,21,196,1713
train,366,7,2,7.7,4,12,18.3,6,43,147.7,84,173,1216
train,367,5,1,6.2,4,8,23.4,5,52,148.4,72,209,890
train,368,14,7,7,5,10,14.7,3,54,132,57,167,2152
train,369,10,3,8,4,15,20.6,4,63,142.9,50,181,1715
train,370,18,8,9.7,4,16,13.2,3,43,150.4,79,209,3120
train,371,16,4,7.6,5,13,10.2,1,55,138.6,57,180,2503
train,372,12,4,7.5,4,16,12.1,2,30,128.4,45,164,1776
train,373,14,4,7.4,5,14,14,2,46,151.9,81,182,2426
train,374,14,6,7.1,5,12,5.8,1,14,100.3,10,165,1584
train,375,10,4,6.3,2,13,7.9,1,36,139.1,125,165,1533
train,376,13,4,8.5,6,12,10.2,3,25,138.5,54,160,2045
train,377,11,8,9.5,6,12,27.8,3,86,139.2,35,205,1942
train,378,15,2,7.2,5,13,12.1,1,44,112.3,23,182,1974
train,379,18,6,7.7,5,15,11.7,2,31,150.1,98,230,3050
train,380,9,4,9.2,6,12,12.9,4,24,143.7,129,168,1492
train,381,11,5,8.6,5,15,12.6,2,26,141.8,131,165,1794
train,382,14,4,7.6,2,11,14.5,2,32,127.3,43,160,2091
train,383,15,3,8.1,5,21,21.8,6,52,151.6,71,202,2722
train,384,12,4,8.8,5,13,15.2,2,43,163.2,66,291,2246
train,385,15,7,8,6,14,26.6,4,68,122,55,172,2349
train,386,15,6,9.3,6,15,18.3,2,39,133.1,34,236,2411
train,387,11,4,7.5,4,10,22.9,3,56,142.1,106,168,1897
train,388,15,4,8,5,16,19.1,2,85,144.6,29,175,2576
train,389,19,4,6.8,4,12,9.5,1,53,147.1,47,185,3106
train,390,16,4,7,3,12,14.6,2,55,129,34,167,2410
train,391,12,7,6.9,4,10,10.4,3,24,140.3,29,229,1892
train,392,15,4,8.7,5,12,14.5,2,60,139.1,82,190,2434
train,393,18,5,7.1,4,10,9.4,3,38,145.4,74,175,2916
train,394,15,6,8.9,5,13,13.1,2,33,131.1,51,203,2296
train,395,18,5,7.4,5,10,28.9,3,95,130.1,39,167,2996
train,396,11,7,10.4,5,16,12.4,1,66,148.5,125,182,1884
train,397,8,2,8.4,7,12,31.4,4,110,155.8,122,186,1564
train,398,12,3,8,4,15,14.7,2,37,164.7,144,220,2248
train,399,15,7,10.5,4,15,30.3,6,66,121.8,90,147,2438
train,400,18,5,8.3,5,19,16.3,1,58,140.6,30,238,2973
train,401,15,6,8.3,5,17,20,4,75,161.9,79,222,2853
train,402,15,6,9.4,4,15,13.9,2,45,126.3,17,206,2243
