feedback_config,task_id,turn_count,q_avg,q_min,q_max,a_avg,a_min,a_max,total_turn_tokens,final_label
CF_EF_UNIT_SNF,BigCodeBench/30,10,146,82,172,336.9,25,467,4829,fail
CF_EF_UNIT_SNF,BigCodeBench/31,10,107.7,82,299,757.8,417,836,8655,fail
CF_EF_UNIT_SNF,BigCodeBench/32,10,1283.1,1173,1568,171.6,169,195,14547,fail
CF_EF_UNIT_SNF,BigCodeBench/33,10,1,1,1,150,113,193,1510,pass
CF_EF_UNIT_SNF,BigCodeBench/34,10,35.4,1,345,306.9,249,377,3423,pass
CF_EF_UNIT_SNF,BigCodeBench/35,10,104.5,79,275,715,282,818,8195,fail
CF_EF_UNIT_SNF,BigCodeBench/36,10,133.3,79,387,716.1,407,810,8494,fail
CF_EF_UNIT_SNF,BigCodeBench/37,10,8,8,8,415.5,346,498,4235,fail
CF_EF_UNIT_SNF,BigCodeBench/38,10,1,1,1,420.3,243,635,4213,pass
CF_EF_UNIT_SNF,BigCodeBench/39,10,202.1,74,359,334.2,70,877,5363,fail
CF_EF_UNIT_SNF,BigCodeBench/40,10,786,596,1093,181.9,181,190,9679,fail
CF_EF_UNIT_SNF,BigCodeBench/41,10,219,168,273,246,242,275,4650,fail
CF_EF_UNIT_SNF,BigCodeBench/42,10,928,744,954,265.4,264,278,11934,fail
CF_EF_UNIT_SNF,BigCodeBench/43,10,1,1,1,248.8,212,292,2498,pass
CF_EF_UNIT_SNF,BigCodeBench/44,10,471.5,288,500,238.5,212,255,7100,fail
CF_EF_UNIT_SNF,BigCodeBench/45,10,1850.6,1230,1923,307.1,301,329,21577,fail
CF_EF_UNIT_SNF,BigCodeBench/46,10,8,8,8,232.6,185,289,2406,fail
CF_EF_UNIT_SNF,BigCodeBench/47,10,8,8,8,269.6,204,348,2776,fail
CF_EF_UNIT_SNF,BigCodeBench/48,10,1,1,1,339.8,209,497,3408,pass
CF_EF_UNIT_SNF,BigCodeBench/49,10,233.7,214,297,200,191,201,4337,fail
CF_EF_UNIT_SNF,BigCodeBench/50,10,216.3,82,1001,775.5,320,881,9918,fail
CF_EF_UNIT_SNF,BigCodeBench/51,10,8,8,8,550.4,502,606,5584,fail
CF_EF_UNIT_SNF,BigCodeBench/52,10,197.3,73,459,483.3,73,816,6806,fail
CF_EF_UNIT_SNF,BigCodeBench/53,10,199.7,79,1227,762.6,371,812,9623,fail
CF_EF_UNIT_SNF,BigCodeBench/54,10,150.9,1,637,138.1,133,162,2890,pass
CF_EF_UNIT_SNF,BigCodeBench/55,10,164.8,79,878,719.2,215,820,8840,fail
CF_EF_UNIT_SNF,BigCodeBench/56,10,8,8,8,227.8,191,271,2358,fail
CF_EF_UNIT_SNF,BigCodeBench/57,10,137.1,79,345,614.3,177,776,7514,fail
CF_EF_UNIT_SNF,BigCodeBench/58,10,1,1,1,355.9,297,425,3569,pass
CF_EF_UNIT_SNF,BigCodeBench/59,10,1,1,1,214.5,156,284,2155,pass
CF_EF_UNIT_SNF,BigCodeBench/60,10,1,1,1,250.1,219,283,2511,pass
CF_EF_UNIT_SNF,BigCodeBench/61,10,372.4,368,385,359.5,359,364,7319,fail
CF_EF_UNIT_SNF,BigCodeBench/62,10,123,82,183,518.1,176,822,6411,fail
CF_EF_UNIT_SNF,BigCodeBench/63,10,855.2,623,881,199.9,199,208,10551,fail
CF_EF_UNIT_SNF,BigCodeBench/64,10,971.2,951,977,304.3,197,736,12755,fail
CF_EF_UNIT_SNF,BigCodeBench/65,10,408.5,8,1017,222.3,63,331,6308,fail
CF_EF_UNIT_SNF,BigCodeBench/66,10,153.9,79,637,727.1,309,867,8810,fail
CF_EF_UNIT_SNF,BigCodeBench/67,10,1,1,1,289,289,289,2900,pass
CF_EF_UNIT_SNF,BigCodeBench/68,10,1,1,1,171.9,134,214,1729,pass
CF_EF_UNIT_SNF,BigCodeBench/69,10,257,253,263,161.3,158,167,4183,fail
CF_EF_UNIT_SNF,BigCodeBench/70,10,197.7,82,323,270.9,227,433,4686,fail
CF_EF_UNIT_SNF,BigCodeBench/71,10,1,1,1,255.7,190,334,2567,pass
CF_EF_UNIT_SNF,BigCodeBench/72,10,8,8,8,288.4,230,358,2964,fail
CF_EF_UNIT_SNF,BigCodeBench/73,10,127.2,122,161,274.8,273,291,4020,fail
CF_EF_UNIT_SNF,BigCodeBench/74,10,215.7,82,232,331.6,299,595,5473,fail
CF_EF_UNIT_SNF,BigCodeBench/75,10,95.3,79,183,744.8,481,807,8401,fail
CF_EF_UNIT_SNF,BigCodeBench/76,10,210.6,199,214,235.2,234,246,4458,fail
CF_EF_UNIT_SNF,BigCodeBench/77,10,216,207,220,156.8,156,164,3728,fail
CF_EF_UNIT_SNF,BigCodeBench/78,10,8,8,8,287.3,232,352,2953,fail
CF_EF_UNIT_SNF,BigCodeBench/79,10,489.6,483,500,210.1,209,220,6997,fail
CF_EF_UNIT_SNF,BigCodeBench/80,10,1,1,1,201.1,103,319,2021,pass
CF_EF_UNIT_SNF,BigCodeBench/81,10,161.8,109,611,92.8,91,103,2546,fail
CF_EF_UNIT_SNF,BigCodeBench/82,10,8,8,8,971.4,459,1595,9794,fail
CF_EF_UNIT_SNF,BigCodeBench/83,10,8,8,8,240,191,295,2480,fail
CF_EF_UNIT_SNF,BigCodeBench/84,10,8,8,8,667.4,627,707,6754,fail
CF_EF_UNIT_SNF,BigCodeBench/85,10,91.4,79,144,712.5,479,770,8039,fail
CF_EF_UNIT_SNF,BigCodeBench/86,10,146.6,1,641,217.4,181,258,3640,pass
CF_EF_UNIT_SNF,BigCodeBench/87,10,101.7,82,239,693.6,183,816,7953,fail
CF_EF_UNIT_SNF,BigCodeBench/88,10,1,1,1,228.8,166,302,2298,pass
CF_EF_UNIT_SNF,BigCodeBench/89,10,178.9,79,1019,761.2,512,822,9401,fail
CF_EF_UNIT_SNF,BigCodeBench/90,10,109.3,79,323,767.7,513,818,8770,fail
CF_EF_UNIT_SNF,BigCodeBench/91,10,8,8,8,401.8,350,462,4098,fail
CF_EF_UNIT_SNF,BigCodeBench/92,10,88.5,79,115,746.9,444,841,8354,fail
CF_EF_UNIT_SNF,BigCodeBench/93,10,46.3,8,391,474,388,572,5203,fail
CF_EF_UNIT_SNF,BigCodeBench/94,10,100.8,79,238,706.5,272,798,8073,fail
CF_EF_UNIT_SNF,BigCodeBench/95,10,214,173,231,372.7,371,388,5867,fail
CF_EF_UNIT_SNF,BigCodeBench/96,10,1,1,1,221.9,181,269,2229,pass
CF_EF_UNIT_SNF,BigCodeBench/97,10,312.6,306,330,204.2,200,225,5168,fail
CF_EF_UNIT_SNF,BigCodeBench/98,10,1,1,1,337.8,297,385,3388,pass
CF_EF_UNIT_SNF,BigCodeBench/99,10,1,1,1,384.1,297,489,3851,pass
CF_EF_UNIT_SNF,BigCodeBench/100,10,8,8,8,449.4,380,532,4574,fail
CF_EF_UNIT_SNF,BigCodeBench/101,10,1306.3,1282,1309,217.5,215,240,15238,fail
CF_EF_UNIT_SNF,BigCodeBench/102,10,511,1,1403,172.7,138,254,6837,pass
CF_EF_UNIT_SNF,BigCodeBench/103,10,78.4,8,172,201,67,401,2794,fail
CF_EF_UNIT_SNF,BigCodeBench/104,10,119.2,82,160,463.8,415,818,5830,fail
CF_EF_UNIT_SNF,BigCodeBench/105,10,157.4,124,166,423.6,417,483,5810,fail
CF_EF_UNIT_SNF,BigCodeBench/106,10,652.4,558,674,580,553,583,12324,fail
CF_EF_UNIT_SNF,BigCodeBench/107,10,149.9,74,769,1453.6,453,1587,16035,fail
CF_EF_UNIT_SNF,BigCodeBench/108,10,107.8,81,273,963.2,116,1530,10710,fail
CF_EF_UNIT_SNF,BigCodeBench/109,10,99.7,8,925,485.1,423,536,5848,fail
CF_EF_UNIT_SNF,BigCodeBench/110,10,1,1,1,328.4,288,376,3294,pass
CF_EF_UNIT_SNF,BigCodeBench/111,10,98.5,79,211,121.1,25,285,2196,fail
CF_EF_UNIT_SNF,BigCodeBench/112,10,8,8,8,278.4,238,326,2864,fail
CF_EF_UNIT_SNF,BigCodeBench/113,10,8,8,8,438.7,398,486,4467,fail
CF_EF_UNIT_SNF,BigCodeBench/114,10,192.3,8,1426,240,201,295,4323,fail
CF_EF_UNIT_SNF,BigCodeBench/115,10,201.9,82,271,275.7,93,856,4776,fail
CF_EF_UNIT_SNF,BigCodeBench/116,10,1,1,1,238.9,198,286,2399,pass
CF_EF_UNIT_SNF,BigCodeBench/117,10,1069,512,1152,436.5,435,450,15055,fail
CF_EF_UNIT_SNF,BigCodeBench/118,10,1,1,1,255.7,233,281,2567,pass
CF_EF_UNIT_SNF,BigCodeBench/119,10,1,1,1,184.3,144,232,1853,pass
CF_EF_UNIT_SNF,BigCodeBench/120,10,128.1,82,497,1082.3,243,1359,12104,fail
CF_EF_UNIT_SNF,BigCodeBench/121,10,213.2,79,676,915.9,357,1156,11291,fail
CF_EF_UNIT_SNF,BigCodeBench/122,10,1,1,1,259.7,230,294,2607,pass
CF_EF_UNIT_SNF,BigCodeBench/123,10,109,82,162,116.5,39,308,2255,fail
CF_EF_UNIT_SNF,BigCodeBench/124,10,159.3,79,458,808.5,634,850,9678,fail
CF_EF_UNIT_SNF,BigCodeBench/125,10,112.2,87,262,921.4,116,1599,10336,fail
CF_EF_UNIT_SNF,BigCodeBench/126,10,248.8,79,1386,749.5,490,830,9983,fail
CF_EF_UNIT_SNF,BigCodeBench/127,10,219.7,205,232,338.8,331,378,5585,fail
CF_EF_UNIT_SNF,BigCodeBench/128,10,259.9,82,479,547.5,227,840,8074,fail
CF_EF_UNIT_SNF,BigCodeBench/129,10,1250.1,1028,1960,464.4,463,477,17145,fail
CF_EF_UNIT_SNF,BigCodeBench/130,10,8,8,8,264.6,213,325,2726,fail
CF_EF_UNIT_SNF,BigCodeBench/131,10,8,8,8,223.6,172,284,2316,fail
CF_EF_UNIT_SNF,BigCodeBench/132,10,260.8,240,333,479.9,479,488,7407,fail
CF_EF_UNIT_SNF,BigCodeBench/133,10,148,124,221,288.2,282,337,4362,fail
CF_EF_UNIT_SNF,BigCodeBench/134,10,1,1,1,301.8,261,349,3028,pass
CF_EF_UNIT_SNF,BigCodeBench/135,10,225.3,218,230,313,311,319,5383,fail
CF_EF_UNIT_SNF,BigCodeBench/136,10,1,1,1,382.6,317,461,3836,pass
CF_EF_UNIT_SNF,BigCodeBench/137,10,1,1,1,205.4,165,253,2064,pass
CF_EF_UNIT_SNF,BigCodeBench/138,10,8,8,8,377,336,424,3850,fail
CF_EF_UNIT_SNF,BigCodeBench/139,10,149,149,149,383.8,383,391,5328,fail
CF_EF_UNIT_SNF,BigCodeBench/140,10,1,1,1,292.2,248,344,2932,pass
CF_EF_UNIT_SNF,BigCodeBench/141,10,1,1,1,421.9,372,476,4229,pass
CF_EF_UNIT_SNF,BigCodeBench/142,10,1,1,1,271.3,231,319,2723,pass
CF_EF_UNIT_SNF,BigCodeBench/143,10,121.3,79,286,687.3,26,1332,8086,fail
CF_EF_UNIT_SNF,BigCodeBench/144,10,131.8,79,437,934.9,22,1342,10667,fail
CF_EF_UNIT_SNF,BigCodeBench/145,10,8,8,8,249.8,209,297,2578,fail
CF_EF_UNIT_SNF,BigCodeBench/146,10,8,8,8,252.5,212,300,2605,fail
CF_EF_UNIT_SNF,BigCodeBench/147,10,8,8,8,243.7,185,313,2517,fail
CF_EF_UNIT_SNF,BigCodeBench/148,10,1,1,1,245.2,200,296,2462,pass
CF_EF_UNIT_SNF,BigCodeBench/149,10,8,8,8,312.6,243,395,3206,fail
CF_EF_UNIT_SNF,BigCodeBench/150,10,357.3,82,772,736.2,272,1362,10935,fail
CF_EF_UNIT_SNF,BigCodeBench/151,10,106.1,79,291,764.7,367,863,8708,fail
CF_EF_UNIT_SNF,BigCodeBench/152,10,1377.9,387,2074,245.1,240,246,16230,fail
CF_EF_UNIT_SNF,BigCodeBench/153,10,1,1,1,235,191,287,2360,pass
CF_EF_UNIT_SNF,BigCodeBench/154,10,245.9,243,248,181.3,180,193,4272,fail
CF_EF_UNIT_SNF,BigCodeBench/155,10,676.4,661,679,313.2,310,318,9896,fail
CF_EF_UNIT_SNF,BigCodeBench/156,10,111.4,79,344,682.4,213,775,7938,fail
CF_EF_UNIT_SNF,BigCodeBench/157,10,103.8,82,217,831.8,355,1296,9356,fail
CF_EF_UNIT_SNF,BigCodeBench/158,10,31.8,1,309,213.7,157,276,2455,pass
CF_EF_UNIT_SNF,BigCodeBench/159,10,8,8,8,264.3,231,303,2723,fail
CF_EF_UNIT_SNF,BigCodeBench/160,10,163.9,113,219,559.6,489,675,7235,fail
CF_EF_UNIT_SNF,BigCodeBench/161,10,99.3,82,147,688.4,46,1577,7877,fail
CF_EF_UNIT_SNF,BigCodeBench/162,10,8,8,8,347.9,296,408,3559,fail
CF_EF_UNIT_SNF,BigCodeBench/163,10,318,296,486,263,261,281,5810,fail
CF_EF_UNIT_SNF,BigCodeBench/164,10,633.9,615,639,237,235,255,8709,fail
CF_EF_UNIT_SNF,BigCodeBench/165,10,1,1,1,420.6,361,489,4216,pass
CF_EF_UNIT_SNF,BigCodeBench/166,10,218.7,218,221,393.8,390,428,6125,fail
CF_EF_UNIT_SNF,BigCodeBench/167,10,1396.1,1339,1404,249,247,267,16451,fail
CF_EF_UNIT_SNF,BigCodeBench/168,10,922.8,513,1080,303.1,286,305,12259,fail
CF_EF_UNIT_SNF,BigCodeBench/169,10,1,1,1,362.6,293,445,3636,pass
CF_EF_UNIT_SNF,BigCodeBench/170,10,1,1,1,234.4,186,290,2354,pass
CF_EF_UNIT_SNF,BigCodeBench/171,10,211.8,79,1348,778.7,508,823,9905,fail
CF_EF_UNIT_SNF,BigCodeBench/172,10,75.8,1,291,90.4,24,130,1662,pass
CF_EF_UNIT_SNF,BigCodeBench/173,10,174.6,78,386,89.2,16,246,2638,fail
CF_EF_UNIT_SNF,BigCodeBench/174,10,1,1,1,248.6,211,291,2496,pass
CF_EF_UNIT_SNF,BigCodeBench/175,10,8,8,8,433.2,400,472,4412,fail
CF_EF_UNIT_SNF,BigCodeBench/176,10,173.8,161,182,152.4,151,165,3262,fail
CF_EF_UNIT_SNF,BigCodeBench/177,10,8,8,8,399.4,359,447,4074,fail
CF_EF_UNIT_SNF,BigCodeBench/178,10,487.2,436,509,214.3,210,228,7015,fail
CF_EF_UNIT_SNF,BigCodeBench/179,10,8,8,8,637.2,550,742,6452,fail
CF_EF_UNIT_SNF,BigCodeBench/180,10,102.5,79,255,711.5,420,775,8140,fail
CF_EF_UNIT_SNF,BigCodeBench/181,10,1,1,1,190.2,124,268,1912,pass
CF_EF_UNIT_SNF,BigCodeBench/182,10,702.6,689,717,301,297,321,10036,fail
CF_EF_UNIT_SNF,BigCodeBench/183,10,333.7,330,346,93.1,86,104,4268,fail
CF_EF_UNIT_SNF,BigCodeBench/184,10,245.7,225,280,913.2,912,924,11589,fail
CF_EF_UNIT_SNF,BigCodeBench/185,10,736,736,736,481.6,477,523,12176,fail
CF_EF_UNIT_SNF,BigCodeBench/186,10,940.7,664,1047,279.1,258,313,12198,fail
CF_EF_UNIT_SNF,BigCodeBench/187,10,113.5,79,365,733.6,483,781,8471,fail
CF_EF_UNIT_SNF,BigCodeBench/188,10,129.2,79,522,740.1,314,817,8693,fail
CF_EF_UNIT_SNF,BigCodeBench/189,10,329.6,318,333,328.8,235,350,6584,fail
CF_EF_UNIT_SNF,BigCodeBench/190,10,102.1,79,251,749,352,837,8511,fail
CF_EF_UNIT_SNF,BigCodeBench/191,10,734.3,724,760,206.1,205,216,9404,fail
CF_EF_UNIT_SNF,BigCodeBench/192,10,1469,1454,1521,370.3,354,452,18393,fail
CF_EF_UNIT_SNF,BigCodeBench/193,10,217.3,143,227,200.7,153,206,4180,fail
CF_EF_UNIT_SNF,BigCodeBench/194,10,1,1,1,300.3,159,471,3013,pass
CF_EF_UNIT_SNF,BigCodeBench/195,10,617.6,606,623,157.8,157,165,7754,fail
CF_EF_UNIT_SNF,BigCodeBench/196,10,822.4,816,824,166.7,165,182,9891,fail
CF_EF_UNIT_SNF,BigCodeBench/197,10,1,1,1,343.8,299,395,3448,pass
CF_EF_UNIT_SNF,BigCodeBench/198,10,1,1,1,377.8,312,456,3788,pass
CF_EF_UNIT_SNF,BigCodeBench/199,10,1,1,1,602.3,504,696,6033,pass
CF_EF_UNIT_SNF,BigCodeBench/200,10,35.9,8,287,352.6,295,423,3885,fail
CF_EF_UNIT_SNF,BigCodeBench/201,10,1,1,1,423.4,397,453,4244,pass
CF_EF_UNIT_SNF,BigCodeBench/202,10,109.8,74,363,1220.3,317,1572,13301,fail
CF_EF_UNIT_SNF,BigCodeBench/203,10,426.8,415,430,369.1,363,400,7959,fail
CF_EF_UNIT_SNF,BigCodeBench/204,10,1,1,1,348.4,290,418,3494,pass
CF_EF_UNIT_SNF,BigCodeBench/205,10,3.1,1,8,252.4,124,476,2555,pass
CF_EF_UNIT_SNF,BigCodeBench/206,10,113.4,107,137,163.9,163,172,2773,fail
CF_EF_UNIT_SNF,BigCodeBench/207,10,462.2,449,471,130.8,128,156,5930,fail
CF_EF_UNIT_SNF,BigCodeBench/208,10,98.3,79,150,680.4,321,827,7787,fail
CF_EF_UNIT_SNF,BigCodeBench/209,10,275.8,269,283,320.1,316,357,5959,fail
CF_EF_UNIT_SNF,BigCodeBench/210,10,189.8,79,1128,684.6,327,838,8744,fail
CF_EF_UNIT_SNF,BigCodeBench/211,10,113.5,79,365,689,193,793,8025,fail
CF_EF_UNIT_SNF,BigCodeBench/212,10,260.7,235,274,205.8,205,213,4665,fail
CF_EF_UNIT_SNF,BigCodeBench/213,10,1,1,1,320.5,247,407,3215,pass
CF_EF_UNIT_SNF,BigCodeBench/214,10,177.3,79,547,627.4,259,752,8047,fail
CF_EF_UNIT_SNF,BigCodeBench/215,10,156.5,74,238,590.1,403,777,7466,fail
CF_EF_UNIT_SNF,BigCodeBench/216,10,1,1,1,441.9,383,511,4429,pass
CF_EF_UNIT_SNF,BigCodeBench/217,10,283.7,271,288,200.7,199,216,4844,fail
CF_EF_UNIT_SNF,BigCodeBench/218,10,127.8,79,508,805.9,578,853,9337,fail
CF_EF_UNIT_SNF,BigCodeBench/219,10,302.4,286,327,326.9,326,335,6293,fail
CF_EF_UNIT_SNF,BigCodeBench/220,10,8,8,8,368.4,328,416,3764,fail
CF_EF_UNIT_SNF,BigCodeBench/221,10,291.3,8,1851,574.4,472,724,8657,fail
CF_EF_UNIT_SNF,BigCodeBench/222,10,123,79,460,688.5,196,805,8115,fail
CF_EF_UNIT_SNF,BigCodeBench/223,10,148.6,82,250,503.2,36,800,6518,fail
CF_EF_UNIT_SNF,BigCodeBench/224,10,101.1,79,241,699.2,407,769,8003,fail
CF_EF_UNIT_SNF,BigCodeBench/225,10,8,8,8,337.4,296,384,3454,fail
CF_EF_UNIT_SNF,BigCodeBench/226,10,97.9,79,209,650.1,114,782,7480,fail
CF_EF_UNIT_SNF,BigCodeBench/227,10,134.2,79,333,721.5,478,798,8557,fail
CF_EF_UNIT_SNF,BigCodeBench/228,10,1,1,1,548.6,418,706,5496,pass
CF_EF_UNIT_SNF,BigCodeBench/229,10,64.7,1,638,419.1,293,573,4838,pass
CF_EF_UNIT_SNF,BigCodeBench/230,10,679.6,652,736,269.5,261,346,9491,fail
CF_EF_UNIT_SNF,BigCodeBench/231,10,725.4,572,811,393,377,397,11184,fail
CF_EF_UNIT_SNF,BigCodeBench/232,10,263.8,258,266,247.8,247,255,5116,fail
CF_EF_UNIT_SNF,BigCodeBench/233,10,102.7,79,257,750.7,396,839,8534,fail
CF_EF_UNIT_SNF,BigCodeBench/234,10,1159.9,1042,1377,328.8,328,336,14887,fail
CF_EF_UNIT_SNF,BigCodeBench/235,10,8,8,8,546.1,468,636,5541,fail
CF_EF_UNIT_SNF,BigCodeBench/236,10,1,1,1,550.4,444,676,5514,pass
CF_EF_UNIT_SNF,BigCodeBench/237,10,111.8,79,218,716.3,447,827,8281,fail
CF_EF_UNIT_SNF,BigCodeBench/238,10,247,82,705,151.8,23,317,3988,fail
CF_EF_UNIT_SNF,BigCodeBench/239,10,138.9,79,625,802.3,392,1282,9412,fail
CF_EF_UNIT_SNF,BigCodeBench/240,10,1,1,1,170.3,131,211,1713,pass
CF_EF_UNIT_SNF,BigCodeBench/241,10,305.4,219,1082,205.6,175,209,5110,fail
CF_EF_UNIT_SNF,BigCodeBench/242,10,91.4,79,144,708.5,376,787,7999,fail
CF_EF_UNIT_SNF,BigCodeBench/243,10,1,1,1,323.3,196,476,3243,pass
CF_EF_UNIT_SNF,BigCodeBench/244,10,807.6,681,884,269.8,269,277,10774,fail
CF_EF_UNIT_SNF,BigCodeBench/245,10,8,8,8,356.5,307,411,3645,fail
CF_EF_UNIT_SNF,BigCodeBench/246,10,12.6,1,117,481.8,358,630,4944,pass
CF_EF_UNIT_SNF,BigCodeBench/247,10,2301.4,287,7018,327.4,301,343,26288,fail
CF_EF_UNIT_SNF,BigCodeBench/248,10,99,79,220,665,239,765,7640,fail
CF_EF_UNIT_SNF,BigCodeBench/249,10,1,1,1,373.6,309,445,3746,pass
CF_EF_UNIT_SNF,BigCodeBench/250,10,123.2,74,436,1123.2,274,1643,12464,fail
CF_EF_UNIT_SNF,BigCodeBench/251,10,114.1,1,668,246,208,293,3601,pass
CF_EF_UNIT_SNF,BigCodeBench/252,10,101.4,79,264,1026.2,377,1632,11276,fail
CF_EF_UNIT_SNF,BigCodeBench/253,10,1,1,1,360.8,234,514,3618,pass
CF_EF_UNIT_SNF,BigCodeBench/254,10,303.2,298,305,77.3,76,89,3805,fail
CF_EF_UNIT_SNF,BigCodeBench/255,10,8,8,8,335.1,244,444,3431,fail
CF_EF_UNIT_SNF,BigCodeBench/256,10,103.9,79,269,675.8,324,764,7797,fail
CF_EF_UNIT_SNF,BigCodeBench/257,10,111.4,79,223,643.9,276,793,7553,fail
CF_EF_UNIT_SNF,BigCodeBench/258,10,964.3,940,977,596.1,595,606,15604,fail
CF_EF_UNIT_SNF,BigCodeBench/259,10,114,79,370,764.7,312,844,8787,fail
CF_EF_UNIT_SNF,BigCodeBench/260,10,1,1,1,257.4,163,371,2584,pass
CF_EF_UNIT_SNF,BigCodeBench/261,10,121.5,115,125,232,231,241,3535,fail
CF_EF_UNIT_SNF,BigCodeBench/262,10,1,1,1,242.8,191,303,2438,pass
CF_EF_UNIT_SNF,BigCodeBench/263,10,1,1,1,514.3,390,662,5153,pass
CF_EF_UNIT_SNF,BigCodeBench/264,10,153.9,82,282,812.7,363,1477,9666,fail
CF_EF_UNIT_SNF,BigCodeBench/265,10,1,1,1,282,248,320,2830,pass
CF_EF_UNIT_SNF,BigCodeBench/266,10,37.1,1,362,327.4,241,433,3645,pass
CF_EF_UNIT_SNF,BigCodeBench/267,10,84.1,1,318,241.1,201,307,3252,pass
CF_EF_UNIT_SNF,BigCodeBench/268,10,538.8,406,599,247.7,246,253,7865,fail
CF_EF_UNIT_SNF,BigCodeBench/269,10,179.4,79,734,895.3,299,1227,10747,fail
CF_EF_UNIT_SNF,BigCodeBench/270,10,1,1,1,140.6,111,175,1416,pass
CF_EF_UNIT_SNF,BigCodeBench/271,10,131.3,82,447,792.4,363,860,9237,fail
CF_EF_UNIT_SNF,BigCodeBench/272,10,1,1,1,55.7,19,99,567,pass
CF_EF_UNIT_SNF,BigCodeBench/273,10,402.6,307,421,357.5,68,397,7601,fail
CF_EF_UNIT_SNF,BigCodeBench/274,10,412,411,421,348.9,347,366,7609,fail
CF_EF_UNIT_SNF,BigCodeBench/275,10,1,1,1,99.8,63,143,1008,pass
CF_EF_UNIT_SNF,BigCodeBench/276,10,286,243,480,245.7,243,246,5317,fail
CF_EF_UNIT_SNF,BigCodeBench/277,10,1,1,1,179.4,139,227,1804,pass
CF_EF_UNIT_SNF,BigCodeBench/278,10,332.6,329,339,271.5,270,285,6041,fail
CF_EF_UNIT_SNF,BigCodeBench/279,10,8,8,8,462.8,271,695,4708,fail
CF_EF_UNIT_SNF,BigCodeBench/280,10,111.8,79,219,712.9,329,829,8247,fail
CF_EF_UNIT_SNF,BigCodeBench/281,10,8,8,8,324,283,371,3320,fail
CF_EF_UNIT_SNF,BigCodeBench/282,10,92.4,79,154,710.9,380,787,8033,fail
CF_EF_UNIT_SNF,BigCodeBench/283,10,27.1,1,262,246.4,206,294,2735,pass
CF_EF_UNIT_SNF,BigCodeBench/284,10,1126.5,789,1171,300.6,299,311,14271,fail
CF_EF_UNIT_SNF,BigCodeBench/285,10,8,8,8,144.3,107,187,1523,fail
CF_EF_UNIT_SNF,BigCodeBench/286,10,1,1,1,427.4,347,523,4284,pass
CF_EF_UNIT_SNF,BigCodeBench/287,10,151.8,149,163,244.9,244,253,3967,fail
