subset,session_id,context_tokens,turn_count,q_avg,q_min,q_max,a_avg,a_min,a_max,total_session_tokens
scbench_kv,400,124142,5,37.4,35,40,23.8,22,26,124448
scbench_kv,405,123886,5,36.6,34,39,23,20,26,124184
scbench_kv,410,123896,5,39,37,41,23.4,19,26,124208
scbench_kv,415,123905,5,40,35,43,21.8,20,24,124214
scbench_kv,420,124034,5,37,35,40,21.8,19,24,124328
scbench_kv,425,124151,5,37.2,35,39,25.6,24,27,124465
scbench_kv,430,124247,5,38,36,40,23.6,22,26,124555
scbench_kv,435,124268,5,35.4,34,37,23.8,22,27,124564
scbench_kv,440,123844,5,38.6,36,41,23,21,26,124152
scbench_kv,445,124078,5,37.8,35,41,21.8,18,26,124376
scbench_kv,450,123948,5,37.6,36,40,24.2,22,26,124257
scbench_kv,455,124147,5,36,33,38,23,21,27,124442
scbench_kv,460,123999,5,37.8,36,41,21.4,18,23,124295
scbench_kv,465,124052,5,39.2,37,42,20.8,17,24,124352
scbench_kv,470,124069,5,36.6,34,41,23.4,21,25,124369
scbench_kv,475,124099,5,37.4,33,41,22.4,22,24,124398
scbench_kv,480,124097,5,40.2,38,43,24.6,23,27,124421
scbench_kv,485,123873,5,38.2,35,41,23.4,21,28,124181
scbench_kv,490,124345,5,37.2,36,39,23.4,21,27,124648
scbench_kv,495,124131,5,37.4,36,39,23.4,20,26,124435
scbench_prefix_suffix,,112280,5,32.2,32,33,15.8,14,18,112520
scbench_prefix_suffix,,112032,5,32.2,32,33,17.4,16,19,112280
scbench_prefix_suffix,,112246,5,31,31,31,16,15,17,112481
scbench_prefix_suffix,,112172,5,31.8,31,33,17.2,15,18,112417
scbench_prefix_suffix,,112087,5,32.2,32,33,16.8,16,18,112332
scbench_prefix_suffix,,112133,5,32.6,32,33,16.8,15,19,112380
scbench_prefix_suffix,,112216,5,31.6,31,32,16.2,15,17,112455
scbench_prefix_suffix,,112126,5,31.8,30,33,16.4,14,20,112367
scbench_prefix_suffix,,111970,5,31.8,30,33,16.6,14,19,112212
scbench_prefix_suffix,,111899,5,32.8,31,34,17.2,16,18,112149
scbench_prefix_suffix,,111975,5,32.2,30,33,17.2,16,19,112222
scbench_prefix_suffix,,112127,5,32.2,32,33,17.6,16,20,112376
scbench_prefix_suffix,,112321,5,31.4,30,32,16.4,16,17,112560
scbench_prefix_suffix,,112045,5,32,31,34,17,15,20,112290
scbench_prefix_suffix,,112036,5,31.6,30,33,16.2,15,18,112275
scbench_prefix_suffix,,111944,5,31.8,31,32,15.8,15,17,112182
scbench_prefix_suffix,,111952,5,32.8,32,33,17.4,15,20,112203
scbench_prefix_suffix,,112208,5,31.4,30,32,16.6,16,18,112448
scbench_prefix_suffix,,112075,5,32.2,31,34,16.6,15,19,112319
scbench_prefix_suffix,,112016,5,31.4,31,32,16.4,15,17,112255
scbench_prefix_suffix,,112264,5,31.8,31,33,17,15,19,112508
scbench_prefix_suffix,,112283,5,31.8,30,33,16.4,14,19,112524
scbench_prefix_suffix,,112001,5,31.8,31,33,16.8,15,18,112244
scbench_prefix_suffix,,111999,5,31.8,31,33,17,15,19,112243
scbench_prefix_suffix,,111957,5,31.8,31,33,15.6,14,19,112194
scbench_prefix_suffix,,111972,5,31.8,31,32,17.2,15,19,112217
scbench_prefix_suffix,,112169,5,32.6,32,34,17.6,16,19,112420
scbench_prefix_suffix,,112389,5,32,31,33,17.2,14,19,112635
scbench_prefix_suffix,,112316,5,31.8,31,32,17.8,17,19,112564
scbench_prefix_suffix,,112189,5,32.2,31,34,17.4,16,19,112437
scbench_prefix_suffix,,112121,5,31.2,30,33,16,15,17,112357
scbench_prefix_suffix,,112095,5,32,31,33,16,14,18,112335
scbench_prefix_suffix,,112104,5,31.8,30,33,16.2,15,18,112344
scbench_prefix_suffix,,112085,5,32,31,34,17.4,15,21,112332
scbench_prefix_suffix,,111994,5,32.4,31,34,17.2,16,19,112242
scbench_prefix_suffix,,112148,5,32.2,31,34,17.8,16,20,112398
scbench_prefix_suffix,,112048,5,32,30,33,17.2,14,20,112294
scbench_prefix_suffix,,111872,5,32,31,33,17.6,14,20,112120
scbench_prefix_suffix,,112128,5,32.2,31,33,17.4,16,19,112376
scbench_prefix_suffix,,112096,5,32.4,32,33,18,17,20,112348
scbench_prefix_suffix,,112061,5,31.6,30,33,17,16,18,112304
scbench_prefix_suffix,,112114,5,32.4,31,33,16.8,14,18,112360
scbench_prefix_suffix,,111839,5,32.4,31,34,17,16,18,112086
scbench_prefix_suffix,,112004,5,32.2,31,33,17.4,15,19,112252
scbench_prefix_suffix,,112056,5,31.6,30,32,16.2,15,17,112295
scbench_prefix_suffix,,112177,5,32.4,32,33,16,14,18,112419
scbench_prefix_suffix,,112094,5,31.6,30,33,16.2,15,18,112333
scbench_prefix_suffix,,112094,5,31.6,30,33,16.2,15,18,112333
scbench_prefix_suffix,,112203,5,32.4,32,33,17.4,16,20,112452
scbench_prefix_suffix,,112104,5,32,31,33,16.4,15,18,112346
scbench_prefix_suffix,,112128,5,31.4,31,32,16.2,16,17,112366
scbench_prefix_suffix,,112246,5,31.4,30,33,15.6,15,17,112481
scbench_prefix_suffix,,111981,5,31.4,30,32,17.2,16,19,112224
scbench_prefix_suffix,,112086,5,32.2,31,34,17.4,15,20,112334
scbench_prefix_suffix,,112227,5,32,31,33,16.8,16,18,112471
scbench_prefix_suffix,,112138,5,31.6,31,32,17.6,14,20,112384
scbench_prefix_suffix,,111995,5,33,32,34,18.6,17,20,112253
scbench_prefix_suffix,,112053,5,32.4,32,33,16.8,14,18,112299
scbench_prefix_suffix,,112009,5,31.4,30,32,15.2,14,16,112242
scbench_prefix_suffix,,112082,5,32,31,33,16.2,15,18,112323
scbench_prefix_suffix,,112026,5,31.8,30,33,16.6,16,17,112268
scbench_prefix_suffix,,111946,5,32.2,31,33,16.6,16,18,112190
scbench_prefix_suffix,,112153,5,32.2,31,33,17.4,16,19,112401
scbench_prefix_suffix,,111936,5,32.2,31,34,18,16,20,112187
scbench_prefix_suffix,,112112,5,31.6,31,33,16,15,18,112350
scbench_prefix_suffix,,112005,5,31,30,32,16.4,13,19,112242
scbench_prefix_suffix,,112332,5,32.4,32,33,17,16,18,112579
scbench_prefix_suffix,,112100,5,32,31,33,16.4,14,19,112342
scbench_prefix_suffix,,112236,5,32.2,31,34,16.2,13,20,112478
scbench_prefix_suffix,,112109,5,32.6,32,34,17.4,16,19,112359
scbench_prefix_suffix,,111976,5,32.2,31,33,17.6,17,19,112225
scbench_prefix_suffix,,112012,5,31.8,30,33,17,15,19,112256
scbench_prefix_suffix,,112170,5,31.4,31,32,15.8,15,18,112406
scbench_prefix_suffix,,112035,5,31,30,32,15.8,14,19,112269
scbench_prefix_suffix,,111932,5,32,31,33,16.8,16,18,112176
scbench_prefix_suffix,,111998,5,31.4,29,33,16.6,16,18,112238
scbench_prefix_suffix,,111982,5,31.6,31,32,16.4,15,18,112222
scbench_prefix_suffix,,112087,5,32.4,32,33,18,16,20,112339
scbench_prefix_suffix,,112070,5,32.2,32,33,17.2,16,19,112317
scbench_prefix_suffix,,112061,5,32.4,32,33,17.4,16,19,112310
scbench_prefix_suffix,,111986,5,31.4,31,32,16.8,16,18,112227
scbench_prefix_suffix,,112160,5,31.4,30,32,16.2,16,17,112398
scbench_prefix_suffix,,112046,5,32,31,33,16.6,15,20,112289
scbench_prefix_suffix,,112128,5,32,31,33,17.6,17,18,112376
scbench_prefix_suffix,,112198,5,32,31,33,17.4,16,19,112445
scbench_prefix_suffix,,112113,5,32,31,34,16.2,15,18,112354
scbench_prefix_suffix,,111987,5,31.8,30,33,16.2,14,18,112227
scbench_prefix_suffix,,112071,5,31.8,31,33,16.4,15,19,112312
scbench_prefix_suffix,,112098,5,31.8,31,33,16.8,15,19,112341
scbench_prefix_suffix,,112177,5,32.2,31,33,16.8,16,18,112422
scbench_prefix_suffix,,112091,5,32.2,32,33,16.8,15,20,112336
scbench_prefix_suffix,,112186,5,31.2,30,32,15.8,15,18,112421
scbench_prefix_suffix,,112037,5,32.2,31,33,16.6,15,18,112281
scbench_prefix_suffix,,112231,5,32.6,32,34,17.8,16,19,112483
scbench_prefix_suffix,,112025,5,32.2,31,33,17.8,17,19,112275
scbench_prefix_suffix,,112174,5,32,31,33,16.6,15,18,112417
scbench_prefix_suffix,,112228,5,31.8,31,33,17.4,15,19,112474
scbench_prefix_suffix,,112034,5,31.6,31,32,16.6,15,18,112275
scbench_prefix_suffix,,112136,5,32.2,31,34,17.4,15,19,112384
scbench_prefix_suffix,,112080,5,31.4,31,33,15.6,13,17,112315
scbench_vt,,124498,5,51,51,51,15.2,15,16,124829
scbench_vt,,124493,5,51,51,51,14.6,13,16,124821
scbench_vt,,124505,5,51,51,51,15.6,15,17,124838
scbench_vt,,124503,5,51,51,51,15.6,14,16,124836
scbench_vt,,124501,5,51,51,51,15.6,15,17,124834
scbench_vt,,124503,5,51,51,51,15.8,14,18,124837
scbench_vt,,124496,5,51,51,51,14.6,13,17,124824
scbench_vt,,124502,5,51,51,51,15.6,14,17,124835
scbench_vt,,124494,5,51,51,51,14.6,13,16,124822
scbench_vt,,124504,5,51,51,51,16,15,17,124839
scbench_vt,,124498,5,51,51,51,15.2,15,16,124829
scbench_vt,,124499,5,51,51,51,15.2,15,16,124830
scbench_vt,,124503,5,51,51,51,15.8,15,17,124837
scbench_vt,,124501,5,51,51,51,15.6,14,17,124834
scbench_vt,,124503,5,51,51,51,15.6,14,17,124836
scbench_vt,,124500,5,51,51,51,15.6,14,16,124833
scbench_vt,,124496,5,51,51,51,15,14,17,124826
scbench_vt,,124504,5,51,51,51,15.6,14,19,124837
scbench_vt,,124508,5,51,51,51,16.4,16,17,124845
scbench_vt,,124497,5,51,51,51,14.8,14,16,124826
scbench_vt,,124500,5,51,51,51,15.6,14,17,124833
scbench_vt,,124501,5,51,51,51,15.6,14,17,124834
scbench_vt,,124515,5,51,51,51,17.2,17,18,124856
scbench_vt,,124509,5,51,51,51,16,15,17,124844
scbench_vt,,124493,5,51,51,51,14.8,12,16,124822
scbench_vt,,124504,5,51,51,51,15.8,15,17,124838
scbench_vt,,124495,5,51,51,51,15.2,14,16,124826
scbench_vt,,124506,5,51,51,51,16,15,17,124841
scbench_vt,,124503,5,51,51,51,15.8,15,17,124837
scbench_vt,,124507,5,51,51,51,16.2,15,18,124843
scbench_vt,,124506,5,51,51,51,15.8,15,17,124840
scbench_vt,,124499,5,51,51,51,15.6,14,17,124832
scbench_vt,,124503,5,51,51,51,15.8,13,18,124837
scbench_vt,,124500,5,51,51,51,15.4,14,17,124832
scbench_vt,,124501,5,51,51,51,15.6,14,17,124834
scbench_vt,,124502,5,51,51,51,15.6,15,17,124835
scbench_vt,,124496,5,51,51,51,15.4,14,17,124828
scbench_vt,,124503,5,51,51,51,15.8,15,17,124837
scbench_vt,,124511,5,51,51,51,16.8,15,18,124850
scbench_vt,,124510,5,51,51,51,16.2,15,18,124846
scbench_vt,,124502,5,51,51,51,15.4,14,17,124834
scbench_vt,,124500,5,51,51,51,15.4,15,16,124832
scbench_vt,,124501,5,51,51,51,15.6,14,17,124834
scbench_vt,,124503,5,51,51,51,16,15,17,124838
scbench_vt,,124502,5,51,51,51,15.2,14,16,124833
scbench_vt,,124504,5,51,51,51,16,15,17,124839
scbench_vt,,124496,5,51,51,51,15,14,16,124826
scbench_vt,,124493,5,51,51,51,14.6,13,15,124821
scbench_vt,,124507,5,51,51,51,16.2,15,18,124843
scbench_vt,,124499,5,51,51,51,15.2,13,18,124830
scbench_vt,,124509,5,51,51,51,16.2,15,18,124845
scbench_vt,,124507,5,51,51,51,15.8,15,17,124841
scbench_vt,,124499,5,51,51,51,15.2,15,16,124830
scbench_vt,,124502,5,51,51,51,15.8,15,18,124836
scbench_vt,,124509,5,51,51,51,16.4,15,17,124846
scbench_vt,,124505,5,51,51,51,16.2,16,17,124841
scbench_vt,,124508,5,51,51,51,16.2,15,17,124844
scbench_vt,,124511,5,51,51,51,16.8,15,19,124850
scbench_vt,,124498,5,51,51,51,15,13,18,124828
scbench_vt,,124513,5,51,51,51,16.8,16,18,124852
scbench_vt,,124511,5,51,51,51,16.6,15,18,124849
scbench_vt,,124501,5,51,51,51,15.6,15,17,124834
scbench_vt,,124499,5,51,51,51,15.4,14,16,124831
scbench_vt,,124503,5,51,51,51,15.8,13,18,124837
scbench_vt,,124505,5,51,51,51,16,15,18,124840
scbench_vt,,124502,5,51,51,51,15.6,14,17,124835
scbench_vt,,124498,5,51,51,51,15.4,14,17,124830
scbench_vt,,124506,5,51,51,51,15.8,14,18,124840
scbench_vt,,124504,5,51,51,51,16,15,18,124839
scbench_vt,,124502,5,51,51,51,15.6,15,16,124835
scbench_vt,,124505,5,51,51,51,16,14,18,124840
scbench_vt,,124497,5,51,51,51,14.8,14,16,124826
scbench_vt,,124507,5,51,51,51,16,14,17,124842
scbench_vt,,124502,5,51,51,51,15.6,15,16,124835
scbench_vt,,124505,5,51,51,51,16,15,18,124840
scbench_vt,,124492,5,51,51,51,15,14,16,124822
scbench_vt,,124499,5,51,51,51,15.4,14,16,124831
scbench_vt,,124504,5,51,51,51,16,15,17,124839
scbench_vt,,124503,5,51,51,51,16,15,17,124838
scbench_vt,,124500,5,51,51,51,15,12,17,124830
scbench_vt,,124500,5,51,51,51,15.6,14,17,124833
scbench_vt,,124498,5,51,51,51,15.2,13,17,124829
scbench_vt,,124502,5,51,51,51,15.4,14,16,124834
scbench_vt,,124504,5,51,51,51,15.8,14,18,124838
scbench_vt,,124498,5,51,51,51,15,13,17,124828
scbench_vt,,124502,5,51,51,51,15.4,14,16,124834
scbench_vt,,124495,5,51,51,51,14.8,13,16,124824
scbench_vt,,124509,5,51,51,51,16.2,15,17,124845
scbench_vt,,124501,5,51,51,51,15.6,15,16,124834
scbench_vt,,124504,5,51,51,51,15.8,14,17,124838
scbench_repoqa,0,65536,5,185.6,137,233,107.2,22,258,67000
scbench_repoqa,1,65536,5,203,181,228,121.4,62,221,67158
scbench_repoqa,2,65536,5,175.2,122,255,129.6,20,205,67060
scbench_repoqa,3,65536,5,197.8,175,223,112.4,16,181,67087
scbench_repoqa,4,65536,5,191.2,165,231,119.6,28,316,67090
scbench_repoqa,5,65536,5,178.4,135,209,78.2,19,247,66819
scbench_repoqa,6,65536,5,199.8,152,276,210.6,58,541,67588
scbench_repoqa,7,65536,5,212.4,149,308,149.8,15,356,67347
scbench_repoqa,8,65536,5,252.6,208,301,194,56,326,67769
scbench_repoqa,9,65536,5,212.8,188,250,147.6,13,319,67338
scbench_repoqa,10,65536,5,211.8,143,286,137.4,25,305,67282
scbench_repoqa,11,65536,5,214.2,182,301,117.4,19,366,67194
scbench_repoqa,12,65536,5,182,155,227,34.2,21,45,66617
scbench_repoqa,13,65536,5,207.4,178,277,86.4,26,223,67005
scbench_repoqa,14,65535,5,185.8,156,232,39.2,8,69,66660
scbench_repoqa,15,65535,5,165.8,137,206,66,25,110,66694
scbench_repoqa,16,65536,5,183,112,260,153.2,22,408,67217
scbench_repoqa,17,65536,5,167.2,103,235,155.6,15,335,67150
scbench_repoqa,18,65536,5,175,141,218,37,29,54,66596
scbench_repoqa,19,65536,5,198.4,181,225,47.2,18,120,66764
scbench_repoqa,20,65535,5,213.8,153,368,82.2,20,140,67015
scbench_repoqa,21,65535,5,217.6,187,282,275.2,152,368,67999
scbench_repoqa,22,65536,5,207.4,157,262,61,15,184,66878
scbench_repoqa,23,65536,5,176,128,222,81,19,205,66821
scbench_repoqa,24,65536,5,188.2,148,266,219.2,104,361,67573
scbench_repoqa,25,65536,5,167.2,132,242,41.6,8,76,66580
scbench_repoqa,26,65536,5,234.8,192,328,29,7,66,66855
scbench_repoqa,27,65536,5,199,154,274,38.4,7,82,66723
scbench_repoqa,28,65536,5,178.4,119,249,97.6,20,194,66916
scbench_repoqa,29,65536,5,176.8,157,224,52.2,27,88,66681
scbench_repoqa,30,65536,5,173,111,261,80.2,12,311,66802
scbench_repoqa,31,65536,5,170.2,116,235,31.8,16,57,66546
scbench_repoqa,32,65536,5,187.4,132,274,109,16,368,67018
scbench_repoqa,33,65536,5,201.8,129,305,138.2,87,243,67236
scbench_repoqa,34,65536,5,172.6,125,220,104.4,15,273,66921
scbench_repoqa,35,65536,5,161,128,193,64.4,25,105,66663
scbench_repoqa,36,65534,5,187.8,163,221,112,27,260,67033
scbench_repoqa,37,65534,5,174.4,145,217,32.4,17,63,66568
scbench_repoqa,38,65536,5,197.6,126,263,138,16,341,67214
scbench_repoqa,39,65536,5,171.2,120,220,89.8,34,165,66841
scbench_repoqa,40,65536,5,153,118,177,65.4,5,145,66628
scbench_repoqa,41,65536,5,184,122,295,30,6,51,66606
scbench_repoqa,42,65536,5,179.8,169,192,108,16,375,66975
scbench_repoqa,43,65536,5,180.4,142,203,61.4,13,100,66745
scbench_repoqa,44,65532,5,180.2,139,210,65.8,17,104,66762
scbench_repoqa,45,65532,5,178.6,135,229,121.2,30,411,67031
scbench_repoqa,46,65536,5,181.2,147,225,100.2,41,251,66943
scbench_repoqa,47,65536,5,167.2,141,210,68,22,100,66712
scbench_repoqa,48,65536,5,188.2,150,275,115.2,40,210,67053
scbench_repoqa,49,65536,5,157.6,139,198,61.6,32,92,66632
scbench_repoqa,50,65536,5,172.4,138,197,70.8,48,93,66752
scbench_repoqa,51,65536,5,187.4,126,282,142.6,39,351,67186
scbench_repoqa,52,65536,5,161.4,145,178,44.2,14,80,66564
scbench_repoqa,53,65536,5,174.4,142,237,60.6,29,95,66711
scbench_repoqa,54,65537,5,187.6,121,232,88.6,19,139,66918
scbench_repoqa,55,65537,5,190.2,123,227,113.2,25,329,67054
scbench_repoqa,56,65536,5,197.8,163,244,280.8,41,490,67929
scbench_repoqa,57,65536,5,180.6,160,202,190,67,536,67389
scbench_repoqa,58,65536,5,197.8,183,217,210.2,56,455,67576
scbench_repoqa,59,65536,5,175.6,147,218,82.6,28,102,66827
scbench_repoqa,60,65536,5,187.4,118,255,108.2,24,297,67014
scbench_repoqa,61,65536,5,160.8,144,182,149.8,30,448,67089
scbench_repoqa,62,65536,5,213,126,270,160.4,46,271,67403
scbench_repoqa,63,65536,5,196.6,158,228,111,36,211,67074
scbench_repoqa,64,65536,5,199.4,153,254,229.8,53,449,67682
scbench_repoqa,65,65536,5,185.8,124,304,147.6,23,489,67203
scbench_repoqa,66,65536,5,164.6,120,211,60,21,133,66659
scbench_repoqa,67,65536,5,170.4,135,206,53.8,21,111,66657
scbench_repoqa,68,65536,5,161.2,133,233,50,44,55,66592
scbench_repoqa,69,65536,5,154.2,120,190,76.8,21,182,66691
scbench_repoqa,70,65536,5,141.8,123,167,60.4,25,104,66547
scbench_repoqa,71,65536,5,184.2,143,218,97,24,268,66942
scbench_repoqa,72,65533,5,187,155,225,161.6,53,302,67276
scbench_repoqa,73,65533,5,210.2,167,290,149.8,17,288,67333
scbench_repoqa,74,65536,5,188.2,144,243,305.6,27,661,68005
scbench_repoqa,75,65536,5,197.4,122,260,99.8,25,266,67022
scbench_repoqa,76,65536,5,179.6,153,206,193.2,57,346,67400
scbench_repoqa,77,65536,5,172.8,120,217,70.8,27,106,66754
scbench_repoqa,78,65536,5,175,118,240,166.2,24,271,67242
scbench_repoqa,79,65536,5,201.6,174,233,257.4,62,511,67831
scbench_repoqa,80,65536,5,205.4,140,275,165.4,14,321,67390
scbench_repoqa,81,65536,5,184,177,201,136.8,42,247,67140
scbench_repoqa,82,65536,5,217.4,161,259,106,46,261,67153
scbench_repoqa,83,65536,5,187,179,195,185.8,21,337,67400
scbench_repoqa,84,65536,5,199.4,145,248,84.4,46,110,66955
scbench_repoqa,85,65536,5,166,110,246,89.6,22,279,66814
scbench_repoqa,86,65536,5,199.8,163,265,241.4,26,494,67742
scbench_repoqa,87,65536,5,206.6,161,289,263.2,72,658,67885
scbench_qa_eng,0,87852,5,18.6,13,25,4.8,4,6,87969
scbench_qa_eng,1,237748,6,13.3,8,20,8.5,4,14,237879
scbench_qa_eng,2,90367,7,11.1,8,22,7.6,2,17,90498
scbench_qa_eng,3,134973,6,11,6,24,3.8,3,5,135062
scbench_qa_eng,4,130810,6,9,6,15,4,2,7,130888
scbench_qa_eng,5,155754,5,14.4,8,20,4.6,3,6,155849
scbench_qa_eng,6,244828,5,17.2,9,29,4,2,6,244934
scbench_qa_eng,7,94749,5,17.6,13,24,4.2,3,6,94858
scbench_qa_eng,8,255430,6,12.5,8,20,2.8,1,7,255522
scbench_qa_eng,9,398542,5,13,11,16,4.6,3,8,398630
scbench_qa_eng,10,233427,5,12.2,8,16,2.8,2,4,233502
scbench_qa_eng,11,142806,5,14.2,9,21,5.4,3,9,142904
scbench_qa_eng,12,539183,5,7.4,6,12,4.8,1,10,539244
scbench_qa_eng,13,222788,5,10.8,7,14,6.2,2,13,222873
scbench_qa_eng,14,384759,5,14.6,7,23,4.2,1,8,384853
scbench_qa_eng,15,89676,5,10.2,8,14,2,1,3,89737
scbench_qa_eng,16,265522,5,12.6,9,17,3.6,1,9,265603
scbench_qa_eng,17,204191,5,15.4,10,23,2.8,1,6,204282
scbench_qa_eng,18,152759,5,17.4,6,24,4,1,6,152866
scbench_qa_eng,19,744421,5,11.8,7,19,5.4,2,9,744507
scbench_qa_eng,20,245722,5,9.6,8,11,3.8,2,10,245789
scbench_qa_eng,21,604706,5,10,7,14,8.4,1,27,604798
scbench_qa_eng,22,132811,5,9,8,11,2.6,2,4,132869
scbench_qa_eng,23,263980,5,15.6,9,20,11.6,3,18,264116
scbench_qa_eng,24,407137,5,12,9,16,7.6,3,20,407235
scbench_qa_eng,25,91691,5,9.8,7,12,5.4,2,12,91767
scbench_qa_eng,26,143988,5,12.2,10,15,4.8,1,10,144073
scbench_qa_eng,27,213740,5,9.4,5,14,4.8,4,6,213811
scbench_qa_eng,28,121614,5,9,6,16,6.4,4,12,121691
scbench_qa_eng,29,178073,5,13,10,18,4,3,6,178158
scbench_qa_eng,30,266545,5,9,8,10,3.4,2,6,266607
scbench_qa_eng,31,94301,5,13.6,7,19,3.4,1,8,94386
scbench_qa_eng,32,452587,5,13.8,8,25,3.2,1,7,452672
scbench_qa_eng,33,134015,5,10,9,12,4.4,1,6,134087
scbench_qa_eng,34,163591,5,12.8,8,16,3.6,2,5,163673
scbench_qa_eng,35,194653,5,15.8,6,29,3.8,1,8,194751
scbench_qa_eng,36,261000,5,17.2,15,20,9,4,14,261131
scbench_qa_eng,37,100842,5,8.6,6,11,3.6,2,6,100903
